transaction_id,timestamp,revenue_category,amount_cad,payment_method,terminal_zone
T0001,2026-08-11 10:00:00,Ground Transportation,46.77,Cash,Transborder
T0002,2026-09-01 17:52:00,Parking,23.03,Mobile,Transborder
T0003,2026-09-13 17:58:00,Retail,21.87,Card,Domestic
T0004,2026-09-04 01:17:00,Retail,26.38,Mobile,Domestic
T0005,2026-09-11 16:35:00,Retail,54.92,Cash,International
T0006,2026-08-28 16:03:00,Food & Beverage,11.0,Card,Transborder
T0007,2026-08-21 15:13:00,Food & Beverage,29.91,Card,Domestic
T0008,2026-09-14 00:16:00,Food & Beverage,49.04,Card,Transborder
T0009,2026-08-03 01:23:00,Ground Transportation,36.01,Mobile,Domestic
T0010,2026-08-08 12:46:00,Retail,-2.0,Mobile,International
T0011,2026-09-12 20:59:00,Food & Beverage,40.56,Mobile,International
T0012,2026-08-03 12:32:00,Retail,36.26,Cash,International
T0013,2026-08-17 12:07:00,Parking,62.15,Mobile,International
T0014,2026-08-11 05:15:00,Food & Beverage,71.02,Cash,Domestic
T0015,2026-08-20 03:18:00,Ground Transportation,60.09,Card,Domestic
T0016,2026-08-31 09:32:00,Retail,26.49,Mobile,Domestic
T0017,2026-09-13 10:59:00,Ground Transportation,5.04,Cash,Domestic
T0018,2026-08-06 10:18:00,Retail,21.75,Cash,International
T0019,2026-09-12 00:21:00,Food & Beverage,25.85,Cash,Transborder
T0020,2026-08-18 13:33:00,Parking,74.29,Cash,International
T0021,2026-08-14 01:55:00,Parking,13.2,Mobile,International
T0022,2026-09-06 17:53:00,Ground Transportation,7.16,Mobile,International
T0023,2026-08-09 23:16:00,Retail,17.57,Card,Domestic
T0024,2026-09-14 10:16:00,F&B,13.85,Card,International
T0025,2026-08-29 20:35:00,Food & Beverage,6.46,Mobile,Domestic
T0026,2026-08-10 13:32:00,Ground Transportation,23.42,Card,International
T0027,2026-09-01 10:20:00,Food & Beverage,-26.63,Cash,Transborder
T0028,2026-08-02 22:22:00,Parking,6.06,Card,Transborder
T0029,2026-08-26 14:34:00,Parking,19.48,Card,Transborder
T0030,2026-08-19 18:14:00,Ground Transportation,13.08,Mobile,Transborder
T0031,2026-08-15 14:35:00,Parking,27.29,Card,International
T0032,2026-08-01 11:26:00,Parking,29.36,Cash,Domestic
T0033,2026-09-02 02:33:00,Parking,13.08,Cash,Domestic
T0034,2026-08-14 09:34:00,Retail,52.16,Mobile,Transborder
T0035,2026-08-18 13:36:00,Ground Transportation,25.41,Card,Transborder
T0036,2026-08-08 07:44:00,Food & Beverage,13.64,Mobile,International
T0037,2026-08-14 15:11:00,Food & Beverage,5.65,Cash,International
T0038,2026-08-18 04:33:00,Parking,30.54,Cash,Domestic
T0039,2026-08-06 19:36:00,Parking,-36.2,Cash,Transborder
T0040,2026-08-25 15:42:00,Parking,16.76,Cash,International
T0041,2026-09-11 07:54:00,Retail,27.95,Cash,International
T0042,2026-08-07 16:35:00,Food & Beverage,71.02,Cash,Transborder
T0043,2026-08-10 01:15:00,Parking,46.7,Cash,Domestic
T0044,2026-09-08 22:56:00,Ground Transportation,2.19,Card,Transborder
T0045,2026-08-31 18:39:00,Parking,13.5,Card,International
T0046,2026-08-27 15:09:00,Ground Transportation,22.54,Mobile,Domestic
T0047,2026-08-31 18:14:00,Food & Beverage,26.52,Cash,Domestic
T0048,2026-09-11 04:10:00,Food & Beverage,28.41,Mobile,Transborder
T0049,2026-08-29 06:12:00,Retail,34.57,Card,International
T0050,2026-08-27 00:09:00,Retail,23.14,Mobile,Domestic
T0051,2026-08-01 10:16:00,Retail,25.37,Card,International
T0052,2026-09-03 21:04:00,Ground Transportation,48.37,Mobile,Domestic
T0053,2026-09-01 03:16:00,Retail,30.98,Mobile,Transborder
T0054,2026-08-17 12:50:00,Retail,8.75,Card,Domestic
T0055,2026-08-30 14:06:00,Parking,27.16,Card,International
T0056,2026-08-10 03:33:00,Retail,22.59,Cash,Domestic
T0057,2026-09-03 07:32:00,Parking,3.4,Cash,International
T0058,2026-08-02 15:04:00,Ground Transportation,28.23,Card,Domestic
T0059,2026-08-26 07:29:00,Retail,9.91,Cash,Transborder
T0060,2026-08-30 23:14:00,Food & Beverage,48.86,Card,International
T0061,2026-09-03 13:52:00,Retail,34.22,Cash,International
T0062,2026-08-05 07:54:00,Ground Transportation,8.28,Card,International
T0063,2026-08-12 01:55:00,Food & Beverage,47.36,Card,Transborder
