date,hour,terminal_zone,traffic_type,passengers_processed,avg_security_wait_min
2026-08-01,5,Domestic,Domestic,167.0,17
2026-08-01,5,Transborder,Transborder,76.0,18
2026-08-01,5,International,International,0.0,13
2026-08-01,7,Domestic,Domestic,213.0,14
2026-08-01,7,Transborder,Transborder,53.0,5
2026-08-01,7,International,International,59.0,7
2026-08-01,9,Domestic,Domestic,192.0,8
2026-08-01,9,Transborder,Transborder,51.0,18
2026-08-01,9,International,International,50.0,8
2026-08-01,11,Domestic,Domestic,108.0,18
2026-08-01,11,Transborder,Transborder,95.0,5
2026-08-01,11,International,International,,8
2026-08-01,13,Domestic,Domestic,120.0,5
2026-08-01,13,Transborder,Transborder,55.0,12
2026-08-01,13,International,International,11.0,5
2026-08-01,15,Domestic,Domestic,173.0,10
2026-08-01,15,Transborder,Transborder,92.0,16
2026-08-01,15,International,International,89.0,8
2026-08-01,17,Domestic,Domestic,219.0,9
2026-08-01,17,Transborder,Transborder,115.0,10
2026-08-01,17,International,International,47.0,18
2026-08-01,19,Domestic,Domestic,139.0,12
2026-08-01,19,Transborder,Transborder,65.0,13
2026-08-01,19,International,International,77.0,11
2026-08-01,21,Domestic,Domestic,137.0,15
2026-08-01,21,Transborder,Transborder,128.0,6
2026-08-01,21,International,International,86.0,15
2026-08-02,5,Domestic,Domestic,172.0,5
2026-08-02,5,Transborder,Transborder,45.0,8
2026-08-02,5,International,International,31.0,65
2026-08-02,7,Domestic,Domestic,182.0,12
2026-08-02,7,Transborder,Transborder,61.0,14
2026-08-02,7,International,International,88.0,12
2026-08-02,9,Domestic,Domestic,167.0,7
2026-08-02,9,Transborder,Transborder,87.0,18
2026-08-02,9,International,International,53.0,12
2026-08-02,11,Domestic,Domestic,189.0,14
2026-08-02,11,,INTL,61.0,13
2026-08-02,11,International,International,79.0,10
2026-08-02,13,Domestic,Domestic,205.0,10
2026-08-02,13,Transborder,Transborder,86.0,7
2026-08-02,13,International,International,76.0,18
2026-08-02,15,Domestic,Domestic,146.0,9
2026-08-02,15,Transborder,Transborder,81.0,16
2026-08-02,15,International,International,98.0,18
2026-08-02,17,Domestic,Domestic,197.0,16
2026-08-02,17,Transborder,Transborder,33.0,6
2026-08-02,17,International,International,53.0,9
2026-08-02,19,Domestic,Domestic,193.0,5
2026-08-02,19,Transborder,Transborder,43.0,11
2026-08-02,19,International,International,7.0,5
2026-08-02,21,Domestic,Domestic,168.0,7
2026-08-02,21,Transborder,Transborder,44.0,18
2026-08-02,21,International,International,54.0,14
2026-08-03,5,Domestic,Domestic,124.0,17
2026-08-03,5,Transborder,Transborder,89.0,8
2026-08-03,5,International,International,32.0,18
2026-08-03,7,Domestic,Domestic,214.0,8
2026-08-03,7,Transborder,Transborder,60.0,15
2026-08-03,7,International,International,54.0,8
2026-08-03,9,Domestic,Domestic,173.0,15
2026-08-03,9,Transborder,Transborder,45.0,8
2026-08-03,9,International,International,141.0,9
2026-08-03,11,Domestic,Domestic,162.0,15
2026-08-03,11,Transborder,Transborder,105.0,11
2026-08-03,11,International,International,16.0,13
2026-08-03,13,Domestic,Domestic,193.0,5
2026-08-03,13,Transborder,Transborder,86.0,18
2026-08-03,13,International,International,54.0,17
2026-08-03,15,Domestic,Domestic,160.0,17
2026-08-03,15,Transborder,Transborder,60.0,15
2026-08-03,15,International,International,40.0,5
2026-08-03,17,Domestic,Domestic,264.0,12
2026-08-03,17,Transborder,Transborder,69.0,7
2026-08-03,17,International,International,73.0,15
2026-08-03,19,Domestic,Domestic,242.0,7
2026-08-03,19,Transborder,Transborder,39.0,14
2026-08-03,19,International,International,56.0,17
2026-08-03,21,Domestic,Domestic,170.0,5
2026-08-03,21,Transborder,Transborder,66.0,8
2026-08-03,21,International,International,48.0,9
2026-08-04,5,Domestic,Domestic,154.0,14
2026-08-04,5,Transborder,Transborder,76.0,17
2026-08-04,5,International,International,17.0,9
2026-08-04,7,Domestic,Domestic,214.0,16
2026-08-04,7,Transborder,Transborder,91.0,16
2026-08-04,7,International,International,37.0,15
2026-08-04,9,Domestic,Domestic,164.0,9
2026-08-04,9,Transborder,Transborder,79.0,11
2026-08-04,9,International,International,27.0,11
2026-08-04,11,Domestic,Domestic,243.0,18
2026-08-04,11,Transborder,Transborder,82.0,10
2026-08-04,11,International,International,68.0,12
2026-08-04,13,Domestic,Domestic,203.0,9
2026-08-04,13,Transborder,Transborder,49.0,8
2026-08-04,13,International,International,93.0,12
2026-08-04,15,Domestic,Domestic,184.0,9
2026-08-04,15,Transborder,Transborder,103.0,15
2026-08-04,15,International,International,48.0,13
2026-08-04,17,Domestic,Domestic,226.0,18
2026-08-04,17,Transborder,Transborder,84.0,14
2026-08-04,17,International,International,131.0,11
2026-08-04,19,Domestic,Domestic,167.0,14
2026-08-04,19,Transborder,Transborder,77.0,6
2026-08-04,19,International,International,18.0,5
2026-08-04,21,Domestic,Domestic,161.0,13
2026-08-04,21,Transborder,Transborder,91.0,15
2026-08-04,21,International,International,94.0,18
2026-08-05,5,Domestic,Domestic,283.0,18
2026-08-05,5,Transborder,Transborder,66.0,10
2026-08-05,5,International,International,22.0,13
2026-08-05,7,Domestic,Domestic,206.0,15
2026-08-05,7,Transborder,Transborder,30.0,14
2026-08-05,7,International,International,74.0,14
2026-08-05,9,Domestic,Domestic,162.0,9
2026-08-05,9,Transborder,Transborder,77.0,9
2026-08-05,9,International,International,93.0,15
2026-08-05,11,Domestic,Domestic,176.0,6
2026-08-05,11,Transborder,Transborder,102.0,12
2026-08-05,11,International,International,85.0,6
2026-08-05,13,Domestic,Domestic,114.0,10
2026-08-05,13,Transborder,Transborder,38.0,9
2026-08-05,13,International,International,0.0,15
2026-08-05,15,Domestic,Domestic,250.0,10
2026-08-05,15,Transborder,Transborder,66.0,18
2026-08-05,15,International,International,117.0,9
2026-08-05,17,Domestic,Domestic,122.0,9
2026-08-05,17,Transborder,Transborder,49.0,15
2026-08-05,17,International,International,83.0,16
2026-08-05,19,Domestic,Domestic,186.0,15
2026-08-05,19,Transborder,Transborder,88.0,9
2026-08-05,19,International,International,11.0,8
2026-08-05,21,Domestic,Domestic,228.0,7
2026-08-05,21,Transborder,Transborder,97.0,13
2026-08-05,21,International,International,69.0,17
2026-08-06,5,Domestic,Domestic,156.0,8
2026-08-06,5,Transborder,Transborder,81.0,5
2026-08-06,5,International,International,44.0,17
2026-08-06,7,Domestic,Domestic,122.0,18
2026-08-06,7,Transborder,Transborder,68.0,17
2026-08-06,7,International,International,49.0,17
2026-08-06,9,Domestic,Domestic,217.0,14
2026-08-06,9,Transborder,Transborder,0.0,11
