date,electricity_kwh,water_m3,waste_tonnes,estimated_co2e_tonnes
2026-08-01,86272.6,423.4,11.44,6.8
2026-08-02,87525.3,391.4,10.77,7.09
2026-08-03,85505.9,366.6,12.24,8.53
2026-08-04,84685.9,444.9,12.41,7.14
2026-08-05,89173.7,403.9,11.42,7.57
2026-08-06,84457.7,401.2,11.58,6.94
2026-08-07,87823.3,443.5,11.15,7.47
2026-08-08,85223.1,395.2,11.65,8.61
2026-08-09,77943.7,,11.88,7.73
2026-08-10,79481.1,462.5,10.78,6.53
2026-08-11,85202.7,378.0,12.33,8.73
2026-08-12,85148.7,457.5,13.92,8.48
2026-08-13,83652.9,477.2,13.61,9.04
2026-08-14,79539.3,372.6,10.84,8.29
2026-08-15,82795.8,412.8,12.17,6.77
2026-08-16,82705.8,459.1,12.16,8.28
2026-08-17,89986.9,417.7,10.72,8.63
2026-08-18,87855.6,439.5,11.31,7.8
2026-08-19,75616.1,459.0,12.79,6.88
2026-08-20,86338.2,434.1,10.27,6.96
2026-08-21,83867.5,406.1,13.68,8.47
2026-08-22,84368.5,438.3,13.1,8.39
2026-08-23,84498.8,385.7,15.17,7.03
2026-08-24,80437.3,362.1,12.15,7.91
2026-08-25,85826.4,359.1,12.84,7.23
2026-08-26,81255.0,452.6,11.81,8.03
2026-08-27,85995.9,435.0,11.09,7.68
2026-08-28,83059.4,388.7,12.7,8.0
2026-08-29,82373.9,461.7,11.36,7.67
2026-08-30,79576.9,432.0,11.87,7.33
2026-08-31,81111.5,396.9,10.65,6.59
